process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.5,15,nolds_dfa,0.48281082603893544,-0.01571648278393294
fGn,0.5,16,custom_rs,0.5684655775637242,0.02065310866676325
fGn,0.5,16,custom_dfa,0.5167758075278789,0.02065310866676325
fGn,0.5,16,nolds_rs,0.4917136150846745,0.02065310866676325
fGn,0.5,16,nolds_dfa,0.5140887430513006,0.02065310866676325
fGn,0.5,17,custom_rs,0.5224205659472054,-0.01406349513139738
fGn,0.5,17,custom_dfa,0.48631821825788457,-0.01406349513139738
fGn,0.5,17,nolds_rs,0.5133596444611772,-0.01406349513139738
fGn,0.5,17,nolds_dfa,0.5273155843216577,-0.01406349513139738
fGn,0.5,18,custom_rs,0.5124683532905181,-0.0034944094732375585
fGn,0.5,18,custom_dfa,0.44521500880739134,-0.0034944094732375585
fGn,0.5,18,nolds_rs,0.5040198061247917,-0.0034944094732375585
fGn,0.5,18,nolds_dfa,0.503324069240285,-0.0034944094732375585
fGn,0.5,19,custom_rs,0.5459538195956948,-0.02310664052946583
fGn,0.5,19,custom_dfa,0.4898115431843937,-0.02310664052946583
fGn,0.5,19,nolds_rs,0.5172098654340922,-0.02310664052946583
fGn,0.5,19,nolds_dfa,0.5189115924466213,-0.02310664052946583
fGn,0.5,20,custom_rs,0.5561221758137564,-0.027590009702728527
fGn,0.5,20,custom_dfa,0.5093226638718992,-0.027590009702728527
fGn,0.5,21,custom_rs,0.5327763767489123,0.005071815300412537
fGn,0.5,21,custom_dfa,0.47812075390914294,0.005071815300412537
fGn,0.5,22,custom_rs,0.5324668275519391,-0.012712335258661462
fGn,0.5,22,custom_dfa,0.477747114058904,-0.012712335258661462
fGn,0.5,23,custom_rs,0.5331255217273375,0.006728615646621794
fGn,0.5,23,custom_dfa,0.48930008516292983,0.006728615646621794
fGn,0.5,24,custom_rs,0.5351127660819751,-0.012538189711086807
fGn,0.5,24,custom_dfa,0.45449032220675817,-0.012538189711086807
fGn,0.5,25,custom_rs,0.5381515520375015,-0.000863639883725064
fGn,0.5,25,custom_dfa,0.48707623193963956,-0.000863639883725064
fGn,0.5,26,custom_rs,0.5551187586847017,-0.0009862922817820033
fGn,0.5,26,custom_dfa,0.5145685625101231,-0.0009862922817820033
fGn,0.5,27,custom_rs,0.5622894316223913,0.010358315571543689
fGn,0.5,27,custom_dfa,0.5009975701041922,0.010358315571543689
fGn,0.5,28,custom_rs,0.5717181757775421,-0.0017229761665500597
fGn,0.5,28,custom_dfa,0.5466960518045872,-0.0017229761665500597
fGn,0.5,29,custom_rs,0.5907634602700599,0.024833530891048467
fGn,0.5,29,custom_dfa,0.5407210111239974,0.024833530891048467
fGn,0.5,30,custom_rs,0.5639586408771138,-0.03152165470596682
fGn,0.5,30,custom_dfa,0.5228890348743419,-0.03152165470596682
fGn,0.5,31,custom_rs,0.5511917749071237,0.007124189410680869
fGn,0.5,31,custom_dfa,0.5037019318610853,0.007124189410680869
fGn,0.5,32,custom_rs,0.5554957419391,0.0025095103354396907
fGn,0.5,32,custom_dfa,0.49423367373250754,0.0025095103354396907
fGn,0.5,33,custom_rs,0.5242847889053063,0.007532939719955979
fGn,0.5,33,custom_dfa,0.4614484912675434,0.007532939719955979
fGn,0.5,34,custom_rs,0.5631812459884197,-0.00858103552616284
fGn,0.5,34,custom_dfa,0.49982596614742075,-0.00858103552616284
fGn,0.5,35,custom_rs,0.5370539075744292,-0.0013315158892663347
fGn,0.5,35,custom_dfa,0.5047076825216466,-0.0013315158892663347
fGn,0.5,36,custom_rs,0.529173537570272,0.01739447770763539
fGn,0.5,36,custom_dfa,0.46454615950321737,0.01739447770763539
fGn,0.5,37,custom_rs,0.5558761953950544,0.015572844248756147
fGn,0.5,37,custom_dfa,0.4832756508291758,0.015572844248756147
fGn,0.5,38,custom_rs,0.5581104185630905,-0.01831144205427349
fGn,0.5,38,custom_dfa,0.5151770462831453,-0.01831144205427349
fGn,0.5,39,custom_rs,0.5053498967379433,0.017654236319362235
fGn,0.5,39,custom_dfa,0.4469238071646724,0.017654236319362235
fGn,0.5,40,custom_rs,0.5353828602654999,-0.0030327020118740052
fGn,0.5,40,custom_dfa,0.46914798168829697,-0.0030327020118740052
fGn,0.5,41,custom_rs,0.5417560245326867,-0.01382593392419141
fGn,0.5,41,custom_dfa,0.4791150477925881,-0.01382593392419141
fGn,0.5,42,custom_rs,0.5642902131703464,0.00306382566644119
fGn,0.5,42,custom_dfa,0.5198857755891166,0.00306382566644119
fGn,0.5,43,custom_rs,0.5461654911518111,0.0031050489095814262
fGn,0.5,43,custom_dfa,0.4899287584422584,0.0031050489095814262
fGn,0.5,44,custom_rs,0.5793597254714065,-0.010355746391550798
fGn,0.5,44,custom_dfa,0.5479238388356407,-0.010355746391550798
fGn,0.5,45,custom_rs,0.5075293996789042,0.0094282332803035
fGn,0.5,45,custom_dfa,0.4467673592022905,0.0094282332803035
fGn,0.5,46,custom_rs,0.5712330058338575,-0.010019092188647829
fGn,0.5,46,custom_dfa,0.5179159937269763,-0.010019092188647829
fGn,0.5,47,custom_rs,0.5778595212230135,0.02296566172704888
